sku,codigo_ean,produto,categoria,quantidade_disponivel,quantidade_reservada,estoque_minimo,corredor,nivel_prateleira,localizacao,status,fragil,lote,dimensoes_cm,peso_kg,fornecedor,data_entrada,data_ultima_movimentacao,custo_unitario,preco_venda
SKU-3012,7897032718873,Regua 30cm,Papelaria,266,57,20,A1,Nivel 1 (Solo),A1-1,Reservado,False,L2026916,63.9x44.0x3.8,8.22,Distribuidora Vega Ltda,2026-01-24,2026-06-25,20.45,34.24
SKU-3136,7897323836842,Meia Cano Alto (par),Vestuario,150,30,10,C1,Nivel 2,C1-2,Disponivel,False,L2026525,21.6x30.9x4.2,9.45,Prime Supply Comercio,2026-05-30,2026-06-07,244.53,504.34
SKU-5698,7895502940625,Livro Best-seller Ficcao,Livros e Papelaria Tecnica,322,64,50,F1,Nivel 2,F1-2,Disponivel,False,L2026314,64.2x11.5x30.5,8.51,Ponto Central Suprimentos,2025-12-27,2026-05-22,436.42,602.99
SKU-6016,7891263983352,Organizador de Mesa,Utilidades para Escritorio,133,77,10,C2,Nivel 4 (Alto),C2-4,Disponivel,False,L2026155,41.9x19.3x35.3,5.75,Global Trade Comercio Exterior,2026-03-17,2026-04-10,104.59,215.46
SKU-3465,7890019801100,Tenis Casual Unissex,Vestuario,126,71,25,B2,Nivel 3,B2-3,Disponivel,False,L2026527,63.0x29.4x31.4,8.53,Metropolitana Atacado,2026-05-14,2026-07-08,186.99,389.76
SKU-1531,7899150863213,Pulseira Fitness,Eletronicos,48,16,30,D2,Nivel 2,D2-2,Disponivel,False,L2026751,46.7x15.5x35.0,11.5,Prime Supply Comercio,2026-03-25,2026-04-05,134.76,306.34
SKU-4825,7891174953871,Parafusadeira a Bateria,Ferramentas,236,72,25,D1,Nivel 4 (Alto),D1-4,Disponivel,False,L2026390,11.2x12.1x13.0,0.3,Distribuidora Vega Ltda,2026-02-02,2026-04-14,148.16,229.16
SKU-4457,7897388907617,Patinete Infantil,Brinquedos,61,14,15,E2,Nivel 1 (Solo),E2-1,Disponivel,True,L2026923,54.0x19.5x30.7,2.44,Importadora Bravo,2026-01-15,2026-04-21,112.76,236.97
SKU-1013,7899118384255,Cabo USB-C,Eletronicos,450,31,10,A3,Nivel 3,A3-3,Disponivel,False,L2026307,64.2x33.1x2.3,13.05,Comercio Atlas S.A.,2025-12-12,2026-03-11,338.89,654.43
SKU-1094,7898230047864,Fone de Ouvido Bluetooth,Eletronicos,194,29,30,B3,Nivel 2,B3-2,Disponivel,True,L2026785,12.7x39.8x18.8,13.11,Distribuidora Vega Ltda,2026-05-04,2026-07-04,450.21,917.88
SKU-5181,7891919756835,Brinquedo Mordedor para Caes,Pet Shop,205,61,15,B3,Nivel 4 (Alto),B3-4,Disponivel,False,L2026258,18.5x17.7x38.1,6.51,Importadora Bravo,2026-02-12,2026-03-07,465.89,1014.83
SKU-2635,7890651174716,Mochila Escolar,Papelaria,45,28,40,C1,Nivel 3,C1-3,Disponivel,False,L2026646,39.4x44.2x24.2,9.22,Importadora Bravo,2026-02-25,2026-04-29,451.04,976.46
SKU-5742,7891022848793,Livro Tecnico de Programacao,Livros e Papelaria Tecnica,12,9,15,B2,Nivel 2,B2-2,Baixo Estoque,False,L2026287,12.7x15.3x36.4,6.71,Comercio Atlas S.A.,2026-03-13,2026-04-03,468.38,876.26
SKU-4962,7893072872759,Lanterna de Trabalho Recarregavel,Ferramentas,232,27,50,C3,Nivel 2,C3-2,Disponivel,False,L2026460,10.4x14.6x24.3,7.98,Union Cargo Distribuidora,2026-01-22,2026-02-20,54.99,114.14
SKU-2730,7893690615509,Marcador de Texto (kit 6un),Papelaria,416,23,40,A2,Nivel 2,A2-2,Disponivel,False,L2026689,33.8x9.0x7.4,0.82,Fornecedora Horizonte Ltda,2026-05-09,2026-07-25,337.95,735.82
SKU-2893,7898348098543,Grampeador de Mesa,Papelaria,465,67,20,C3,Nivel 1 (Solo),C3-1,Em Conferencia,False,L2026940,17.4x22.9x33.8,9.7,Importadora Bravo,2025-11-14,2026-03-11,431.15,800.77
SKU-2201,7897892571403,Filtro de Agua de Bancada,Casa e Cozinha,66,42,50,F1,Nivel 2,F1-2,Disponivel,True,L2026851,31.2x12.4x17.1,4.25,Comercio Atlas S.A.,2026-02-26,2026-05-07,418.74,962.7
SKU-5169,7890719631427,Areia Sanitaria para Gatos 4kg,Pet Shop,32,17,30,C1,Nivel 4 (Alto),C1-4,Disponivel,False,L2026363,14.8x14.8x4.1,8.51,Union Cargo Distribuidora,2026-06-04,2026-07-21,440.46,943.22
SKU-2809,7893755504588,Calculadora Simples,Papelaria,276,63,15,A1,Nivel 3,A1-3,Disponivel,False,L2026646,9.2x13.1x19.8,12.31,Nortex Distribuicao,2026-01-03,2026-04-01,465.39,901.1
SKU-4232,7899260054280,Jogo de Tabuleiro Familia,Brinquedos,110,44,25,B2,Nivel 1 (Solo),B2-1,Em Conferencia,False,L2026250,12.3x18.2x13.9,13.78,Metropolitana Atacado,2025-12-16,2026-03-08,243.7,482.04
SKU-1498,7892415131522,Smartwatch Esportivo,Eletronicos,171,35,30,E1,Nivel 1 (Solo),E1-1,Disponivel,True,L2026326,31.6x45.1x33.8,2.71,Metropolitana Atacado,2026-01-14,2026-02-02,153.85,342.85
SKU-5989,7895611389049,Luminaria de Mesa LED,Utilidades para Escritorio,468,7,40,C1,Nivel 1 (Solo),C1-1,Disponivel,True,L2026423,22.4x40.8x14.9,7.23,Global Trade Comercio Exterior,2025-11-21,2026-05-12,367.42,523.32
SKU-5042,7892419100227,Racao para Caes Filhotes 10kg,Pet Shop,176,75,50,C1,Nivel 2,C1-2,Disponivel,False,L2026714,23.6x32.5x2.8,12.39,Prime Supply Comercio,2026-05-20,2026-06-25,164.03,338.01
SKU-2414,7895882187085,Escorredor de Louca,Casa e Cozinha,304,35,50,E1,Nivel 1 (Solo),E1-1,Disponivel,False,L2026666,10.5x45.1x12.3,1.19,Comercio Atlas S.A.,2026-03-11,2026-06-28,59.21,103.36
SKU-5693,7895789066254,Livro Best-seller Ficcao,Livros e Papelaria Tecnica,292,42,50,F1,Nivel 1 (Solo),F1-1,Disponivel,False,L2026499,35.8x23.8x24.7,3.87,Importadora Bravo,2025-11-16,2026-01-05,367.36,567.91
SKU-3991,7891649461528,Protetor Solar FPS 50,Higiene e Beleza,258,52,40,B3,Nivel 1 (Solo),B3-1,Disponivel,False,L2026098,7.1x25.9x35.1,6.17,Prime Supply Comercio,2026-04-12,2026-06-06,225.97,444.93
SKU-3093,7891575229506,Camiseta Regata,Vestuario,275,31,40,C1,Nivel 1 (Solo),C1-1,Reservado,False,L2026904,31.0x17.5x19.2,5.57,Global Trade Comercio Exterior,2025-11-23,2026-06-08,454.69,639.27
SKU-1671,7892024617523,Pen Drive 64GB,Eletronicos,452,17,10,D1,Nivel 4 (Alto),D1-4,Disponivel,False,L2026820,30.7x38.1x27.3,8.63,Global Trade Comercio Exterior,2025-11-10,2026-03-08,435.88,886.9
SKU-3192,7898836970252,Bone Aba Curva,Vestuario,311,40,25,B3,Nivel 4 (Alto),B3-4,Disponivel,False,L2026463,41.7x34.3x15.9,9.73,Metropolitana Atacado,2026-04-25,2026-06-24,317.85,701.92
SKU-5732,7899495637807,Livro Tecnico de Programacao,Livros e Papelaria Tecnica,144,46,25,D2,Nivel 4 (Alto),D2-4,Disponivel,False,L2026975,56.1x24.9x25.5,5.11,Comercio Atlas S.A.,2026-01-24,2026-05-05,371.23,657.92
SKU-2210,7891815837461,Filtro de Agua de Bancada,Casa e Cozinha,39,19,25,C2,Nivel 2,C2-2,Disponivel,True,L2026288,44.2x27.0x28.8,10.1,Prime Supply Comercio,2026-03-27,2026-04-01,48.27,94.64
SKU-4722,7894369779447,Nivel de Bolha,Ferramentas,232,59,50,D1,Nivel 2,D1-2,Disponivel,False,L2026593,12.1x37.6x21.3,10.59,Importadora Bravo,2026-01-24,2026-07-17,419.14,581.2
SKU-3089,7893608633397,Camiseta Regata,Vestuario,331,44,30,C1,Nivel 1 (Solo),C1-1,Disponivel,False,L2026348,26.1x5.9x27.8,11.65,Distribuidora Vega Ltda,2026-01-30,2026-03-24,207.83,436.95
SKU-4430,7890748699351,Kit Blocos de Montar,Brinquedos,466,66,30,C2,Nivel 3,C2-3,Disponivel,False,L2026291,29.8x22.2x14.9,4.25,Global Trade Comercio Exterior,2026-03-21,2026-06-30,475.12,962.61
SKU-5215,7899237323517,Coleira Ajustavel,Pet Shop,398,19,20,E1,Nivel 3,E1-3,Disponivel,False,L2026141,20.4x17.3x22.9,7.25,Comercio Atlas S.A.,2025-12-23,2026-01-10,440.31,717.74
SKU-3998,7893115479709,Creme Dental (kit 3un),Higiene e Beleza,446,79,20,D2,Nivel 2,D2-2,Disponivel,False,L2026251,24.5x14.9x15.7,10.62,Importadora Bravo,2026-06-23,2026-07-17,12.24,24.21
SKU-3766,7890703839426,Secador de Cabelo 2000W,Higiene e Beleza,58,28,25,A3,Nivel 1 (Solo),A3-1,Disponivel,True,L2026131,45.3x29.5x7.1,4.44,Union Cargo Distribuidora,2026-03-10,2026-07-14,202.06,445.48
SKU-3320,7894466199544,Bermuda Moletom,Vestuario,232,11,10,F1,Nivel 4 (Alto),F1-4,Disponivel,False,L2026803,29.3x23.4x24.1,4.43,Global Trade Comercio Exterior,2025-11-20,2026-04-26,201.55,299.19
SKU-3427,7891756863451,Jaqueta de Frio,Vestuario,140,75,40,F2,Nivel 3,F2-3,Em Conferencia,False,L2026157,53.7x38.0x37.6,4.77,Global Trade Comercio Exterior,2026-01-24,2026-02-03,84.72,116.68
SKU-1487,7893229031022,Smartwatch Esportivo,Eletronicos,259,56,40,A1,Nivel 2,A1-2,Disponivel,True,L2026362,21.2x34.2x36.3,7.59,Distribuidora Vega Ltda,2026-06-28,2026-06-28,344.13,549.27
SKU-3122,7891192474358,Camiseta Regata,Vestuario,220,77,10,C3,Nivel 2,C3-2,Disponivel,False,L2026221,34.3x42.6x5.8,7.19,Prime Supply Comercio,2026-06-28,2026-07-10,279.62,432.49
SKU-4259,7899575941909,Kit Massinha de Modelar,Brinquedos,165,33,20,A1,Nivel 1 (Solo),A1-1,Reservado,True,L2026630,49.8x11.3x7.9,7.05,Fornecedora Horizonte Ltda,2026-04-22,2026-06-20,346.17,630.73
SKU-4169,7892616917499,Boneco de Acao Articulado,Brinquedos,113,78,30,D2,Nivel 2,D2-2,Disponivel,False,L2026879,11.9x39.4x16.2,6.9,Distribuidora Vega Ltda,2026-06-01,2026-06-30,341.67,653.94
SKU-2555,7891041313555,Caderno Espiral 100fls,Papelaria,381,58,20,A3,Nivel 1 (Solo),A3-1,Disponivel,False,L2026434,46.4x10.5x11.3,10.58,Union Cargo Distribuidora,2026-01-10,2026-03-30,365.68,840.55
SKU-4661,7891003667580,Alicate Universal,Ferramentas,324,69,10,C2,Nivel 2,C2-2,Disponivel,False,L2026791,52.6x38.5x39.4,10.43,Comercio Atlas S.A.,2026-05-18,2026-05-27,220.82,426.19
SKU-1932,7893642357006,Jogo de Talheres Inox,Casa e Cozinha,44,20,20,E2,Nivel 2,E2-2,Disponivel,True,L2026647,30.7x8.0x9.1,13.65,Global Trade Comercio Exterior,2026-02-22,2026-05-05,55.02,80.35
SKU-1133,7898657191829,Fone de Ouvido com Fio,Eletronicos,419,50,40,D1,Nivel 1 (Solo),D1-1,Disponivel,False,L2026754,21.4x18.5x34.0,4.6,Union Cargo Distribuidora,2026-03-24,2026-05-05,462.97,729.15
SKU-2601,7895783517981,Caneta Marca-Texto (kit 4un),Papelaria,332,64,15,F2,Nivel 1 (Solo),F2-1,Disponivel,False,L2026673,62.4x44.3x19.3,13.82,Metropolitana Atacado,2026-01-26,2026-05-28,160.21,363.75
SKU-4650,7897337265683,Alicate Universal,Ferramentas,231,21,15,A1,Nivel 2,A1-2,Reservado,True,L2026970,27.0x46.4x4.6,9.52,Importadora Bravo,2026-04-24,2026-07-20,386.56,806.95
SKU-3985,7890651651262,Protetor Solar FPS 50,Higiene e Beleza,445,32,20,F1,Nivel 2,F1-2,Em Conferencia,False,L2026461,9.8x18.0x16.5,6.17,Metropolitana Atacado,2026-03-12,2026-07-19,133.74,280.26
SKU-4831,7893863222176,Parafusadeira a Bateria,Ferramentas,342,44,10,A1,Nivel 4 (Alto),A1-4,Em Conferencia,False,L2026067,21.7x40.4x27.7,2.26,Fornecedora Horizonte Ltda,2025-11-13,2026-02-08,223.32,418.76
SKU-4358,7898501829991,Bicicleta Infantil Aro 16,Brinquedos,313,11,10,A2,Nivel 1 (Solo),A2-1,Disponivel,False,L2026597,46.1x5.6x38.9,0.47,Nortex Distribuicao,2026-05-31,2026-07-04,120.78,273.21
SKU-5972,7893739920168,Luminaria de Mesa LED,Utilidades para Escritorio,53,32,10,B2,Nivel 2,B2-2,Reservado,True,L2026138,59.6x21.2x37.9,2.9,Importadora Bravo,2026-06-30,2026-07-20,125.09,269.27
SKU-2435,7890566518377,Forma de Silicone para Bolo,Casa e Cozinha,409,38,30,C2,Nivel 1 (Solo),C2-1,Disponivel,False,L2026045,19.9x24.1x11.8,8.51,Fornecedora Horizonte Ltda,2026-02-12,2026-03-15,443.04,825.28
SKU-5817,7896309755979,Planner Anual,Livros e Papelaria Tecnica,15,0,30,E2,Nivel 2,E2-2,Baixo Estoque,False,L2026836,32.3x13.8x38.7,13.26,Metropolitana Atacado,2026-03-05,2026-07-18,351.48,724.39
SKU-4908,7898430443428,Kit Soquetes 40 Pecas,Ferramentas,214,33,20,A3,Nivel 2,A3-2,Reservado,False,L2026105,62.6x44.0x12.0,9.13,Metropolitana Atacado,2026-07-03,2026-07-21,295.5,556.32
SKU-2205,7894457762627,Filtro de Agua de Bancada,Casa e Cozinha,125,50,25,B3,Nivel 1 (Solo),B3-1,Disponivel,True,L2026792,54.0x16.4x21.8,12.03,Prime Supply Comercio,2026-03-05,2026-03-09,439.46,846.04
SKU-1627,7890900404762,Repetidor de Sinal Wi-Fi,Eletronicos,290,20,40,B3,Nivel 2,B3-2,Disponivel,False,L2026036,28.0x17.0x28.1,12.58,Ponto Central Suprimentos,2026-01-29,2026-06-10,466.17,957.86
SKU-1288,7891671120752,Teclado Mecanico,Eletronicos,353,46,20,C2,Nivel 3,C2-3,Disponivel,False,L2026315,13.0x10.5x29.8,1.8,Importadora Bravo,2026-05-30,2026-06-13,149.03,306.59
SKU-1908,7891566397924,"Panela de Pressao 4,5L",Casa e Cozinha,177,14,20,B2,Nivel 2,B2-2,Disponivel,False,L2026029,55.5x44.2x20.9,11.98,Metropolitana Atacado,2026-04-04,2026-05-03,296.0,585.2
SKU-5156,7897027940494,Areia Sanitaria para Gatos 4kg,Pet Shop,339,49,30,A2,Nivel 4 (Alto),A2-4,Disponivel,False,L2026125,52.4x36.3x24.1,3.62,Fornecedora Horizonte Ltda,2026-05-31,2026-07-11,382.29,763.06
SKU-3442,7891734174142,Tenis Casual Unissex,Vestuario,427,44,25,B3,Nivel 1 (Solo),B3-1,Disponivel,False,L2026774,61.1x19.6x25.5,4.26,Prime Supply Comercio,2025-12-19,2026-06-12,460.17,996.92
SKU-5756,7898975464032,Livro Tecnico de Programacao,Livros e Papelaria Tecnica,11,2,40,C2,Nivel 2,C2-2,Baixo Estoque,False,L2026251,32.5x19.8x26.5,2.56,Distribuidora Vega Ltda,2026-03-23,2026-04-14,444.76,692.23
SKU-1927,7891141600913,"Panela de Pressao 4,5L",Casa e Cozinha,290,80,25,B1,Nivel 2,B1-2,Disponivel,False,L2026471,55.1x33.9x39.8,10.37,Prime Supply Comercio,2026-01-19,2026-03-24,99.93,178.27
SKU-2613,7898571093384,Caneta Marca-Texto (kit 4un),Papelaria,190,27,50,A1,Nivel 1 (Solo),A1-1,Disponivel,False,L2026981,63.6x19.7x31.2,6.69,Union Cargo Distribuidora,2025-11-25,2026-07-13,320.83,497.65
SKU-5974,7894615537418,Luminaria de Mesa LED,Utilidades para Escritorio,118,1,10,D2,Nivel 1 (Solo),D2-1,Disponivel,True,L2026649,49.5x11.5x7.7,0.97,Prime Supply Comercio,2026-01-25,2026-06-03,155.17,295.71
SKU-3245,7897001022215,Bone Aba Reta,Vestuario,359,50,15,B1,Nivel 1 (Solo),B1-1,Disponivel,False,L2026931,60.4x40.8x32.5,1.0,Fornecedora Horizonte Ltda,2026-04-23,2026-07-16,406.16,562.11
SKU-5774,7896251041229,Revista em Quadrinhos (edicao especial),Livros e Papelaria Tecnica,242,39,25,F1,Nivel 3,F1-3,Disponivel,False,L2026138,46.1x42.9x6.3,9.65,Global Trade Comercio Exterior,2026-07-13,2026-07-23,82.25,177.24
SKU-5220,7896353732346,Coleira Ajustavel,Pet Shop,425,77,15,A1,Nivel 1 (Solo),A1-1,Disponivel,False,L2026161,62.8x33.1x40.2,12.52,Metropolitana Atacado,2026-01-18,2026-05-24,238.74,492.67
SKU-3789,7897047023719,Chapinha Modeladora,Higiene e Beleza,352,20,40,C1,Nivel 2,C1-2,Disponivel,True,L2026800,63.7x47.3x22.6,3.4,Prime Supply Comercio,2026-06-15,2026-07-20,7.52,16.79
SKU-4076,7893316030891,Quebra-Cabeca 500 pecas,Brinquedos,94,47,30,F2,Nivel 1 (Solo),F2-1,Disponivel,False,L2026826,48.9x20.0x41.7,0.26,Ponto Central Suprimentos,2026-06-21,2026-07-10,434.82,941.78
SKU-4347,7890713894774,Bicicleta Infantil Aro 16,Brinquedos,283,43,40,D2,Nivel 1 (Solo),D2-1,Disponivel,False,L2026418,18.5x8.6x9.4,4.23,Fornecedora Horizonte Ltda,2026-03-22,2026-05-23,436.64,691.55
SKU-5048,7895036029193,Racao para Caes Filhotes 10kg,Pet Shop,10,6,15,D2,Nivel 1 (Solo),D2-1,Baixo Estoque,False,L2026805,9.5x30.2x40.1,12.67,Ponto Central Suprimentos,2026-06-04,2026-06-29,34.76,64.43
SKU-4670,7898433724173,Alicate Universal,Ferramentas,301,5,20,C2,Nivel 2,C2-2,Disponivel,False,L2026056,34.4x46.8x28.3,9.18,Union Cargo Distribuidora,2026-03-12,2026-04-14,293.15,423.47
SKU-3035,7891277127711,Apontador com Deposito,Papelaria,197,64,20,B1,Nivel 1 (Solo),B1-1,Em Conferencia,True,L2026539,22.0x29.5x39.8,0.08,Nortex Distribuicao,2025-12-12,2026-02-27,49.75,88.47
SKU-5405,7890937328208,Oleo Lubrificante 5L,Automotivo,462,14,40,B3,Nivel 1 (Solo),B3-1,Disponivel,False,L2026245,7.1x10.1x33.5,9.2,Comercio Atlas S.A.,2026-03-24,2026-05-26,172.38,391.91
SKU-2048,7899573940591,Air Fryer 6L,Casa e Cozinha,321,70,50,D2,Nivel 2,D2-2,Disponivel,True,L2026821,14.7x42.5x36.3,3.3,Comercio Atlas S.A.,2026-07-13,2026-07-23,345.4,548.64
SKU-1110,7899356465198,Fone de Ouvido com Fio,Eletronicos,303,69,15,E2,Nivel 1 (Solo),E2-1,Disponivel,False,L2026815,53.1x40.7x4.8,5.76,Union Cargo Distribuidora,2025-11-12,2025-12-04,452.86,701.56
SKU-1656,7897213290167,Pen Drive 64GB,Eletronicos,0,0,15,E2,Nivel 4 (Alto),E2-4,Baixo Estoque,False,L2026806,58.4x25.1x27.9,8.5,Fornecedora Horizonte Ltda,2026-01-21,2026-04-18,265.95,542.52
SKU-2426,7899680645549,Forma de Silicone para Bolo,Casa e Cozinha,372,18,20,C2,Nivel 2,C2-2,Disponivel,False,L2026993,18.2x11.3x35.0,13.87,Prime Supply Comercio,2026-03-17,2026-06-18,211.1,291.02
SKU-2834,7899462455403,Calculadora Simples,Papelaria,438,62,25,A1,Nivel 1 (Solo),A1-1,Reservado,False,L2026566,61.7x27.3x36.2,10.14,Comercio Atlas S.A.,2026-04-22,2026-06-29,441.07,730.33
SKU-2129,7891902716983,Sanduicheira,Casa e Cozinha,286,26,40,A2,Nivel 2,A2-2,Disponivel,True,L2026116,31.0x39.3x41.1,1.24,Prime Supply Comercio,2026-06-20,2026-07-22,178.13,397.49
SKU-2551,7897189935475,Caderno Espiral 100fls,Papelaria,349,40,40,F1,Nivel 1 (Solo),F1-1,Reservado,False,L2026223,40.3x15.5x36.3,1.03,Ponto Central Suprimentos,2026-06-25,2026-07-18,214.03,353.43
SKU-3535,7891247966678,Cinto de Couro Sintetico,Vestuario,105,3,30,A2,Nivel 4 (Alto),A2-4,Disponivel,False,L2026499,42.0x42.6x21.0,5.85,Metropolitana Atacado,2026-05-31,2026-06-20,358.97,501.73
SKU-2145,7898330967390,Sanduicheira,Casa e Cozinha,316,64,25,A3,Nivel 1 (Solo),A3-1,Disponivel,True,L2026418,14.3x23.2x11.3,10.28,Global Trade Comercio Exterior,2026-02-21,2026-03-01,474.02,976.31
SKU-1427,7896620563413,Power Bank 10000mAh,Eletronicos,39,23,10,F1,Nivel 3,F1-3,Disponivel,False,L2026565,9.9x30.7x32.3,2.86,Distribuidora Vega Ltda,2026-07-06,2026-07-21,138.33,257.91
SKU-2428,7891985965513,Forma de Silicone para Bolo,Casa e Cozinha,350,3,40,A1,Nivel 4 (Alto),A1-4,Disponivel,False,L2026469,36.9x32.4x32.7,3.16,Ponto Central Suprimentos,2026-03-24,2026-06-03,421.43,863.77
SKU-4989,7895033152351,Lanterna de Trabalho Recarregavel,Ferramentas,348,41,15,A3,Nivel 2,A3-2,Disponivel,False,L2026610,46.3x44.0x34.7,3.41,Comercio Atlas S.A.,2026-07-05,2026-07-11,303.9,436.66
SKU-6106,7891211369313,Quadro Branco 60x90cm,Utilidades para Escritorio,479,18,20,C2,Nivel 2,C2-2,Reservado,False,L2026209,26.1x45.9x11.9,2.56,Prime Supply Comercio,2026-01-22,2026-05-14,284.55,385.76
SKU-1682,7894160461541,Pen Drive 64GB,Eletronicos,26,8,40,A2,Nivel 1 (Solo),A2-1,Baixo Estoque,False,L2026606,33.7x20.5x23.7,13.16,Nortex Distribuicao,2025-11-13,2026-07-26,54.85,98.9
SKU-1712,7898860505376,Pen Drive 128GB,Eletronicos,219,55,25,E1,Nivel 1 (Solo),E1-1,Em Conferencia,False,L2026057,52.0x5.8x3.7,7.31,Nortex Distribuicao,2026-03-03,2026-07-04,59.46,87.55
SKU-3390,7899549686171,Calca Moletom,Vestuario,410,24,25,F2,Nivel 3,F2-3,Disponivel,False,L2026668,57.4x29.6x27.6,11.1,Metropolitana Atacado,2026-02-19,2026-07-28,276.7,393.52
SKU-5565,7892417946520,Kit Ferramentas Automotivas,Automotivo,407,23,50,C1,Nivel 2,C1-2,Disponivel,False,L2026354,50.5x34.7x38.1,1.25,Nortex Distribuicao,2026-02-07,2026-04-26,86.15,171.64
SKU-2505,7899089649667,Caderno Universitario 200fls,Papelaria,341,66,25,F2,Nivel 1 (Solo),F2-1,Disponivel,False,L2026999,52.1x11.3x28.6,12.34,Importadora Bravo,2026-01-25,2026-03-13,90.66,134.37
SKU-3649,7899441042327,Escova de Dente Eletrica,Higiene e Beleza,17,10,10,B3,Nivel 3,B3-3,Em Conferencia,False,L2026306,19.2x29.2x23.0,12.03,Comercio Atlas S.A.,2026-05-30,2026-06-14,436.22,667.62
SKU-2744,7892788598816,Agenda Executiva,Papelaria,88,1,30,C1,Nivel 3,C1-3,Disponivel,False,L2026705,60.0x22.8x7.7,2.33,Nortex Distribuicao,2026-04-07,2026-05-11,97.36,165.7
SKU-1658,7892463203745,Pen Drive 64GB,Eletronicos,204,59,25,B3,Nivel 2,B3-2,Disponivel,False,L2026055,61.9x43.6x38.9,4.94,Fornecedora Horizonte Ltda,2026-03-17,2026-06-25,201.92,282.44
SKU-5807,7896602879020,Planner Anual,Livros e Papelaria Tecnica,62,33,15,F2,Nivel 1 (Solo),F2-1,Disponivel,True,L2026245,28.9x21.1x30.7,1.21,Importadora Bravo,2026-06-19,2026-06-29,230.27,519.86
SKU-3837,7893659077461,Perfume 100ml,Higiene e Beleza,414,32,25,B2,Nivel 1 (Solo),B2-1,Disponivel,True,L2026842,52.6x9.7x41.0,2.83,Nortex Distribuicao,2026-02-18,2026-04-03,29.55,49.38
SKU-5667,7897181100710,Camera de Re Automotiva,Automotivo,253,75,40,A1,Nivel 2,A1-2,Disponivel,True,L2026782,47.2x35.6x24.4,13.74,Importadora Bravo,2026-02-06,2026-04-24,360.82,706.17
SKU-4862,7893980998893,Escada de Aluminio 5 Degraus,Ferramentas,115,61,20,C2,Nivel 3,C2-3,Disponivel,False,L2026549,52.1x19.6x4.9,12.36,Nortex Distribuicao,2026-02-04,2026-06-05,16.13,35.42
SKU-2076,7895224114205,Conjunto de Potes Hermeticos,Casa e Cozinha,209,61,25,B3,Nivel 1 (Solo),B3-1,Disponivel,True,L2026915,7.1x47.3x18.1,3.54,Metropolitana Atacado,2026-05-09,2026-06-18,355.54,671.28
SKU-5802,7895893516751,Planner Anual,Livros e Papelaria Tecnica,24,18,10,B3,Nivel 4 (Alto),B3-4,Em Conferencia,False,L2026139,22.4x24.8x29.3,9.42,Ponto Central Suprimentos,2025-11-28,2026-07-07,184.62,403.55
SKU-6097,7899978831661,Quadro Branco 60x90cm,Utilidades para Escritorio,323,20,50,B2,Nivel 3,B2-3,Disponivel,False,L2026502,56.2x5.2x22.7,6.41,Ponto Central Suprimentos,2025-12-17,2026-01-10,250.72,435.43
SKU-4517,7899922934660,Furadeira de Impacto 750W,Ferramentas,305,57,15,E1,Nivel 3,E1-3,Disponivel,False,L2026308,48.3x30.5x20.2,7.29,Global Trade Comercio Exterior,2026-02-22,2026-06-01,172.01,362.05
SKU-5242,7891027798857,Guia Retratil,Pet Shop,112,80,15,A2,Nivel 2,A2-2,Disponivel,False,L2026620,38.4x11.1x22.5,5.87,Comercio Atlas S.A.,2026-01-19,2026-03-19,44.5,61.92
SKU-5788,7891557327909,Revista em Quadrinhos (edicao especial),Livros e Papelaria Tecnica,323,60,40,C2,Nivel 1 (Solo),C2-1,Disponivel,False,L2026213,37.3x10.8x10.3,12.86,Prime Supply Comercio,2026-05-03,2026-06-16,349.62,778.62
SKU-3882,7897824566361,Kit Skincare Facial,Higiene e Beleza,24,22,15,C3,Nivel 1 (Solo),C3-1,Disponivel,False,L2026773,31.7x42.8x40.9,12.97,Metropolitana Atacado,2026-03-30,2026-07-03,399.44,773.49
SKU-2118,7897659153828,Cafeteira Eletrica,Casa e Cozinha,48,12,10,D2,Nivel 1 (Solo),D2-1,Reservado,True,L2026887,31.3x17.6x19.2,11.11,Nortex Distribuicao,2025-12-17,2026-04-20,386.62,582.05
SKU-5044,7895540555867,Racao para Caes Filhotes 10kg,Pet Shop,155,33,50,C1,Nivel 3,C1-3,Disponivel,False,L2026111,47.7x8.9x28.7,8.59,Fornecedora Horizonte Ltda,2026-04-04,2026-06-12,15.56,23.44
SKU-2478,7890538338569,Panificadora Eletrica,Casa e Cozinha,96,23,30,A2,Nivel 2,A2-2,Disponivel,True,L2026800,37.0x35.0x13.1,0.46,Nortex Distribuicao,2026-03-31,2026-05-13,184.77,420.76
SKU-5279,7899536403521,Shampoo para Pets 500ml,Pet Shop,19,13,25,D2,Nivel 2,D2-2,Baixo Estoque,False,L2026410,62.8x36.8x11.0,3.15,Metropolitana Atacado,2026-07-12,2026-07-22,203.85,397.3
SKU-5374,7891695787238,Oleo Lubrificante 1L,Automotivo,234,36,10,D2,Nivel 2,D2-2,Disponivel,False,L2026941,57.6x34.3x9.2,7.5,Distribuidora Vega Ltda,2026-07-01,2026-07-06,461.1,776.2
SKU-4590,7894108429794,Trena 5m,Ferramentas,208,60,40,A3,Nivel 4 (Alto),A3-4,Disponivel,False,L2026178,17.9x20.3x35.0,8.87,Ponto Central Suprimentos,2026-05-11,2026-06-29,342.64,778.51
